"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6210","navigate to register page on clicking on continue button","","Sat Sep 07 15:52:32 WIB 2024","passed","Sat Sep 07 15:52:38 WIB 2024","","Login page","",""
"","20009","Should be able to show privacy policy modal","","Sat Sep 07 15:53:56 WIB 2024","passed","Sat Sep 07 15:54:16 WIB 2024","","Register page","",""
"","17151","Should be able to close the privacy policy modal","","Sat Sep 07 15:53:59 WIB 2024","passed","Sat Sep 07 15:54:16 WIB 2024","","Register page","",""
"","14922","Should be able to show message is privacy policy is not selected","","Sat Sep 07 20:54:09 WIB 2024","passed","Sat Sep 07 20:54:24 WIB 2024","","Register page","",""
"","27423","Should be able to choose no for subscribe letter","","Sat Sep 07 20:52:06 WIB 2024","passed","Sat Sep 07 20:52:34 WIB 2024","","Register page","",""
"","172599","Should be able to fill company","","Sat Sep 07 20:51:32 WIB 2024","passed","Sat Sep 07 20:54:24 WIB 2024","","Register page","",""
"","1240","navigate to login page on clicking login register button","","Sat Sep 07 15:52:39 WIB 2024","passed","Sat Sep 07 15:52:40 WIB 2024","","Navbar","",""
"","4152","should display the logo","","Sat Sep 07 20:50:39 WIB 2024","passed","Sat Sep 07 20:50:43 WIB 2024","","Navbar","",""
"","10547","Should be able to show message is privacy policy is not selected","","Sat Sep 07 20:52:23 WIB 2024","passed","Sat Sep 07 20:52:34 WIB 2024","","Register page","",""
"","56101","Should be able to show message when country is not selected","","Sat Sep 07 20:51:38 WIB 2024","passed","Sat Sep 07 20:52:34 WIB 2024","","Register page","",""
"","63221","Should be able to fill the confirm password","","Sat Sep 07 20:53:21 WIB 2024","passed","Sat Sep 07 20:54:24 WIB 2024","","Register page","",""
"","61776","Should be able to country is select United Kingdom automatically","","Sat Sep 07 20:51:32 WIB 2024","passed","Sat Sep 07 20:52:34 WIB 2024","","Register page","",""
"","1400","navigate to homepage on clicking logo button","","Sat Sep 07 15:52:37 WIB 2024","passed","Sat Sep 07 15:52:38 WIB 2024","","Navbar","",""
"","53356","Should be able to choose yes for subscribe letter","","Sat Sep 07 20:53:31 WIB 2024","passed","Sat Sep 07 20:54:24 WIB 2024","","Register page","",""
"","1735","navigate to cart page on clicking cart button","","Sat Sep 07 20:51:26 WIB 2024","passed","Sat Sep 07 20:51:28 WIB 2024","","Navbar","",""
"","64959","Should be able to show message when ZIP code is not between 3 and 10 characters","","Sat Sep 07 20:51:29 WIB 2024","passed","Sat Sep 07 20:52:34 WIB 2024","","Register page","",""
"","3286","Should be able to show message when city is between 3 and 128 characters","","Sat Sep 07 20:52:08 WIB 2024","passed","Sat Sep 07 20:52:12 WIB 2024","","Register page","",""
"","24851","Should be able to check privacy policy","","Sat Sep 07 20:52:09 WIB 2024","passed","Sat Sep 07 20:52:34 WIB 2024","","Register page","",""
"","22265","Should be able to check privacy policy","","Sat Sep 07 15:53:53 WIB 2024","passed","Sat Sep 07 15:54:16 WIB 2024","","Register page","",""
"","9127","navigate to register page on clicking on continue button","","Sat Sep 07 21:16:58 WIB 2024","passed","Sat Sep 07 21:17:07 WIB 2024","","Login page","",""
"","60886","Should be able to show message when region is empty","","Sat Sep 07 15:53:15 WIB 2024","passed","Sat Sep 07 15:54:16 WIB 2024","","Register page","",""
"","190641","Should be able to show message when email is empty","","Sat Sep 07 20:51:14 WIB 2024","passed","Sat Sep 07 20:54:24 WIB 2024","","Register page","",""
"","3908","Should be able to show message when loginname is empty","","Sat Sep 07 20:52:52 WIB 2024","passed","Sat Sep 07 20:52:55 WIB 2024","","Register page","",""
"","1278","navigate to login page on clicking login button in account dropdown menu","","Sat Sep 07 15:52:46 WIB 2024","passed","Sat Sep 07 15:52:47 WIB 2024","","Navbar","",""
"","99873","Should be able to show message when email is empty","","Sat Sep 07 20:50:54 WIB 2024","passed","Sat Sep 07 20:52:34 WIB 2024","","Register page","",""
"","42548","Should be able to show message when loginname is empty","","Sat Sep 07 15:53:33 WIB 2024","passed","Sat Sep 07 15:54:16 WIB 2024","","Register page","",""
"","1137","navigate to cart page on clicking cart button","","Sat Sep 07 15:52:50 WIB 2024","passed","Sat Sep 07 15:52:51 WIB 2024","","Navbar","",""
"","27027","Should be able to close the privacy policy modal","","Sat Sep 07 20:53:57 WIB 2024","passed","Sat Sep 07 20:54:24 WIB 2024","","Register page","",""
"","88245","Should be able to fill first address","","Sat Sep 07 20:51:05 WIB 2024","passed","Sat Sep 07 20:52:34 WIB 2024","","Register page","",""
"","98385","Should be able to show message when firstname is more than 32 characters","","Sat Sep 07 15:52:37 WIB 2024","passed","Sat Sep 07 15:54:16 WIB 2024","","Register page","",""
"","20230","Should be able to show alert message if password and confirm password are not same","","Sat Sep 07 20:54:04 WIB 2024","passed","Sat Sep 07 20:54:24 WIB 2024","","Register page","",""
"","9487","Should be able to register account","","Sat Sep 07 20:54:15 WIB 2024","passed","Sat Sep 07 20:54:24 WIB 2024","","Register page","",""
"","63242","Should be able to select region dropdown","","Sat Sep 07 15:53:12 WIB 2024","passed","Sat Sep 07 15:54:16 WIB 2024","","Register page","",""
"","1276","navigate to account page on clicking account button","","Sat Sep 07 20:50:47 WIB 2024","passed","Sat Sep 07 20:50:48 WIB 2024","","Navbar","",""
"","4372","should display the logo","","Sat Sep 07 20:50:36 WIB 2024","passed","Sat Sep 07 20:50:40 WIB 2024","","Navbar","",""
"","1801","navigate to login page on clicking login register button","","Sat Sep 07 20:50:56 WIB 2024","passed","Sat Sep 07 20:50:58 WIB 2024","","Navbar","",""
"","85593","Should be able to show message when first address is between 3 and 128 characters","","Sat Sep 07 20:51:08 WIB 2024","passed","Sat Sep 07 20:52:34 WIB 2024","","Register page","",""
